"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10021","Admin can access dashboard on Site A","","2026-02-06","passed","2026-02-06","","","",""
"","1056","Sample NoAuth DuckDuckGo Tests","","2026-02-06","passed","2026-02-06","","","",""
